Brewery,Longitude,Latitude
Guinness,53.341874,-6.2867093
Bath Ales,51.4512978,-2.5338195
Brewdog,57.371728,-2.048320
Black Sheep,54.2249784,-1.6583111
Thornbridge,53.2197633,-1.6854224
Wild Beer Company,51.1487491,-2.4683796
Harviestoun Brewery,56.149777,-3.7867537
Fullers,51.373998,-0.6321623
Tiny Rebel,51.5905827,-3.0539846
Sharp's Brewery,50.551845,-4.8912969
Hogs Back Brewery,51.229026,-0.732317
St Austell Brewery,50.342191,-4.787767
Weird Beard Beer Co.,51.4974218,-0.3382236
Belhaven Brewery,55.987010,-2.538869
Wychwood Brewery,51.783015,-1.488323
Butcombe Brewery,51.354703,-2.761441
Greene King,52.240894,0.717456
Shepherd Neame Brewery,51.316711,0.891689
Newcastle Brown,55.0022917,-1.7969253
Courage,51.454911,-0.986148
McEwan's,55.934081,-3.239283
Timothy Taylors,53.8657172,-1.9270604
Innis and Gunn,56.2624864,-4.5699427
Otter Brewery,50.8646002,-3.1660269
Boyne Brewhouse,53.6940349,-6.3696619
Smithwicks Brewery,52.6473578,-7.2684283
Camden Town Brewery,51.547927,-0.161562
Gipsy Hill,51.428647,-0.089409
The Orkney Brewery,59.064292,-3.335818
Hall and Woodhouse,50.7897282,-2.9525979
Morland,52.2399723,0.6993711
Station Works Brewery,54.0483108,-6.255
McGargles,53.341028,-6.522238
Ram Brewery,51.440374,-0.178524
Banks's,52.5848608,-2.139065
Dartmoor Brewery,50.5444345,-3.998031
Carlow Brewing Company,52.697154,-6.976297
Hope Brewery,53.390972,-6.154304
Meantime Brewing Company,51.4894766,0.0075363
Brew By Numbers,51.4974326,-0.0720012
Hook Norton Brewery,51.996703,-1.493823
Adnams,52.3225989,1.6549623
St Peters Brewery,52.3496763,1.2413367
Bass Brewery,52.813527,-1.636674
Castle Rock Brewery,52.945631,-1.148661
Purity Brewing Company,52.2560586,-1.8513992
Ringwood Brewery,50.8409339,-1.7870593
Chapel Down Winery,51.0373355,0.694377
Carlsberg,52.2313167,-0.8969105
Brains Brewery,51.4768246,-3.1873313
Rhymney Brewery,51.7758837,-3.1014229
Samuel Smith's,53.883796,-1.263572
Track Brewing Co.,53.4765481,-2.227125
Wiper and True,51.4698967,-2.57631
Bristol Beer Factory,51.4417338,-2.6198376
Hopback Brewery,50.9957841,-1.7558251
Cheddar Ales,51.267412,-2.769368
Robinsons Brewery,53.409593,-2.155481
Marston's Brewery,52.8059201,-1.659075
New Lion Brewery,50.4338308,-3.6871402
Bathams Brewery,52.474448,-2.117671
Cairngorm Brewery Company,57.200886,-3.8214315
Camerons Brewery,54.6816324,-1.2127659
Howling Hops,51.5406321,-0.0239681
Caledonian Brewery,55.935737,-3.2333724
Hiver,51.4989325,-0.0747897
Redchurch Brewery,51.5303313,-0.0590703
Saltaire Brewery,53.838222,-1.7681947
Wye Valley Brewery,52.1490624,-2.5539721
Tennent's,55.8597167,-4.2323885
Theakston Brewing Company,54.222574,-1.661059
Harbour Brewing Company,50.3074138,-4.9879457
Stewart Brewing,55.8723144,-3.16168
Big Hug Brewing,51.4612417,-0.0763748
Young's Brewery,51.4601566,-0.193324
Williams Bros. Brewing Co.,56.1125803,-3.8153501
Everards,52.6407186,-1.2142791
Ilkley Brewery,53.930251,-1.81284
Charles Wells Brewery,52.1223533,-0.4879129
Wylam Brewery,54.986218,-1.616554
Good Chemistry Brewing,51.454258,-2.574087
Wold Top Brewery,54.163589,-0.36191
Galway Bay Brewery,53.288816,-9.005679
My Generation Beer Co.,54.231797,-1.664475
Mount St Bernard Abbey,52.7412858,-1.3226919
Fyne Ales,56.276836,-4.91427
Hard Knott Brewery,54.206912,-3.25662
Tempest Brew Co.,55.602006,-2.7577796
Bad Co.,54.134739,-1.40567
K1,51.495145,-0.274964
Vibrant Forest,50.767865,-1.5812149
Dark Star Brewing,50.958177,-0.305848
West Berkshire Brewery,51.462055,-1.2000165
Pressure Drop,51.5905483,-0.0581218
Holden's Brewery,52.5319307,-2.0906504
Calvors Brewery,52.171607,1.106208
Nethergate Brewery,52.061062,0.7086463
Old Chimneys Brewery,52.3659333,0.9208672
Bootleg Brewing Company,53.4388739,-2.2844374
Beavertown Brewery,51.5908506,-0.0589455
Jennings Lakeland Ales,54.6648448,-3.3655662
Hillside Brewery,51.876136,-2.432935
Chadlington Brewery,51.8954817,-1.5277926
Titanic Brewery,53.045686,-2.1914217
Brakspear Brewery,51.7831911,-1.4904952
Isle of Skye Brewing Co.,57.5867774,-6.3777137
Inveralmond Brewery,56.41777,-3.4741387
Lerwick Brewery,60.1621109,-1.1851287
Broughton Brewery,55.6102522,-3.4153679
WEST Brewery,55.8508598,-4.2359526
Black Isle Brewing Co,57.5342192,-4.330471
Six Degrees North,56.8364937,-2.4616397
Wooha Brewing Co,57.6535587,-3.5041808
Black Wolf Brewery,56.1034726,-3.8510332
Arkell's Family Brewery,51.5924989,-1.7650346
Jubel Beer,50.163495,-5.122712
Freedom Brewery,52.840637,-1.862995
Uprising Brewery,51.4845229,-0.6175797
Edinburgh Beer Factory,55.9278885,-3.2978192
Small Beer Brew Co.,51.4855676,-0.0595851
Moon Gazer (Norfolk Brewhouse),52.8812741,0.9377625
Bellfield Brewery,55.9557789,-3.1645438
Clan Brewing Company,55.8612659,-4.3697045
Eden Mill Distillery & Brewery,55.882528,-4.1230857
Merchant City Brewing,55.8758761,-4.2627868
Loch Leven Brewery,56.2083222,-3.4253828
